Name;"METEO - Air Temperature"
AKS;METEO:197:TT
Einheit;ḞC
"23.2301.26 00:00";-0.3
"23.2301.26 01:00";-0.4
"23.2301.26 02:00";-0.7
"23.2301.26 03:00";-0.5
"23.2301.26 04:00";-0.6
"23.2301.26 05:00";-0.5
"23.2301.26 06:00";-0.5
"23.2301.26 07:00";-1.7
"23.2301.26 08:00";-1.7
"23.2301.26 09:00";-1.5
"23.2301.26 10:00";-0.7
"23.2301.26 11:00";0.3
"23.2301.26 12:00";1.1
"23.2301.26 13:00";0.5
"23.2301.26 14:00";1.3
"23.2301.26 15:00";1.9
"23.2301.26 16:00";0.7
"23.2301.26 17:00";0.6
"23.2301.26 18:00";0.5
"23.2301.26 19:00";-0.6
"23.2301.26 20:00";-0.7
"23.2301.26 21:00";-0.6
"23.2301.26 22:00";-0.7
"23.2301.26 23:00";-0.6
"24.2401.26 00:00";-0.5
"24.2401.26 01:00";-0.7
"24.2401.26 02:00";-0.4
"24.2401.26 03:00";-0.2
"24.2401.26 04:00";0.1
"24.2401.26 05:00";0.0
"24.2401.26 06:00";0.1
"24.2401.26 07:00";-0.9
"24.2401.26 08:00";-0.9
"24.2401.26 09:00";-0.8
"24.2401.26 10:00";0.1
"24.2401.26 11:00";0.8
"24.2401.26 12:00";1.3
"24.2401.26 13:00";2.8
"24.2401.26 14:00";3.3
"24.2401.26 15:00";3.6
"24.2401.26 16:00";2.3
"24.2401.26 17:00";2.0
"24.2401.26 18:00";1.4
"24.2401.26 19:00";1.3
"24.2401.26 20:00";1.0
"24.2401.26 21:00";0.8
"24.2401.26 22:00";0.6
"24.2401.26 23:00";0.3
"25.2501.26 00:00";0.2
"25.2501.26 01:00";0.1
"25.2501.26 02:00";-0.1
"25.2501.26 03:00";-0.3
"25.2501.26 04:00";-0.3
"25.2501.26 05:00";-0.2
"25.2501.26 06:00";-0.3
"25.2501.26 07:00";-0.3
"25.2501.26 08:00";0.9
"25.2501.26 09:00";0.9
"25.2501.26 10:00";1.0
"25.2501.26 11:00";1.3
"25.2501.26 12:00";2.0
"25.2501.26 13:00";2.3
"25.2501.26 14:00";2.7
"25.2501.26 15:00";2.8
"25.2501.26 16:00";2.7
"25.2501.26 17:00";2.1
"25.2501.26 18:00";1.9
"25.2501.26 19:00";1.7
"25.2501.26 20:00";1.5
"25.2501.26 21:00";2.1
"25.2501.26 22:00";1.8
"25.2501.26 23:00";1.7
"26.2601.26 00:00";1.7
"26.2601.26 01:00";1.5
"26.2601.26 02:00";1.5
"26.2601.26 03:00";1.6
"26.2601.26 04:00";1.5
"26.2601.26 05:00";1.6
"26.2601.26 06:00";2.3
"26.2601.26 07:00";2.3
"26.2601.26 08:00";2.4
"26.2601.26 09:00";2.8
"26.2601.26 10:00";2.8
"26.2601.26 11:00";3.1
"26.2601.26 12:00";4.0
"26.2601.26 13:00";4.3
"26.2601.26 14:00";4.6
"26.2601.26 15:00";5.0
"26.2601.26 16:00";4.9
"26.2601.26 17:00";4.6
"26.2601.26 18:00";4.1
"26.2601.26 19:00";3.4
"26.2601.26 20:00";2.8
"26.2601.26 21:00";3.1
"26.2601.26 22:00";2.7
"26.2601.26 23:00";2.2
"27.2701.26 00:00";1.4
"27.2701.26 01:00";0.8
"27.2701.26 02:00";0.6
"27.2701.26 03:00";-0.5
"27.2701.26 04:00";-0.7
"27.2701.26 05:00";-0.8
"27.2701.26 06:00";-2.3
"27.2701.26 07:00";-2.2
"27.2701.26 08:00";-2.0
"27.2701.26 09:00";-3.8
"27.2701.26 10:00";-2.3
"27.2701.26 11:00";-1.3
"27.2701.26 12:00";0.2
"27.2701.26 13:00";1.4
"27.2701.26 14:00";2.3
"27.2701.26 15:00";2.9
"27.2701.26 16:00";3.0
"27.2701.26 17:00";3.4
"27.2701.26 18:00";2.8
"27.2701.26 19:00";2.4
"27.2701.26 20:00";2.1
"27.2701.26 21:00";2.7
"27.2701.26 22:00";2.4
"27.2701.26 23:00";2.4
"28.2801.26 00:00";2.3
"28.2801.26 01:00";2.2
"28.2801.26 02:00";2.2
"28.2801.26 03:00";2.0
"28.2801.26 04:00";1.9
"28.2801.26 05:00";1.8
"28.2801.26 06:00";1.4
"28.2801.26 07:00";1.4
"28.2801.26 08:00";1.5
"28.2801.26 09:00";1.4
"28.2801.26 10:00";1.6
"28.2801.26 11:00";1.7
"28.2801.26 12:00";3.2
"28.2801.26 13:00";3.4
"28.2801.26 14:00";3.4
"28.2801.26 15:00";3.7
"28.2801.26 16:00";3.4
"28.2801.26 17:00";3.3
"28.2801.26 18:00";2.5
"28.2801.26 19:00";2.5
"28.2801.26 20:00";2.4
"28.2801.26 21:00";2.0
"28.2801.26 22:00";1.9
"28.2801.26 23:00";1.9
"29.2901.26 00:00";1.9
"29.2901.26 01:00";2.1
"29.2901.26 02:00";2.1
"29.2901.26 03:00";2.0
"29.2901.26 04:00";1.9
"29.2901.26 05:00";1.9
"29.2901.26 06:00";1.9
"29.2901.26 07:00";2.0
"29.2901.26 08:00";2.0
"29.2901.26 09:00";2.0
"29.2901.26 10:00";2.0
"29.2901.26 11:00";2.3
"29.2901.26 12:00";3.2
"29.2901.26 13:00";3.6
"29.2901.26 14:00";3.9
"29.2901.26 15:00";4.0
"29.2901.26 16:00";4.0
"29.2901.26 17:00";3.5
"29.2901.26 18:00";4.0
"29.2901.26 19:00";3.1
"29.2901.26 20:00";2.5
"29.2901.26 21:00";1.6
"29.2901.26 22:00";1.0
"29.2901.26 23:00";0.7
"30.3001.26 00:00";0.8
"30.3001.26 01:00";0.4
"30.3001.26 02:00";0.1
"30.3001.26 03:00";-0.8
"30.3001.26 04:00";-1.1
"30.3001.26 05:00";-1.3
"30.3001.26 06:00";-1.0
"30.3001.26 07:00";-1.1
"30.3001.26 08:00";-1.3
"30.3001.26 09:00";-0.2
"30.3001.26 10:00";0.2
"30.3001.26 11:00";0.7
"30.3001.26 12:00";1.5
"30.3001.26 13:00";2.0
"30.3001.26 14:00";2.4
"30.3001.26 15:00";1.7
"30.3001.26 16:00";2.0
"30.3001.26 17:00";2.1
"30.3001.26 18:00";1.8
"30.3001.26 19:00";1.8
"30.3001.26 20:00";1.7
"30.3001.26 21:00";1.9
"30.3001.26 22:00";1.6
"30.3001.26 23:00";1.5
"31.3101.26 00:00";2.4
"31.3101.26 01:00";1.9
"31.3101.26 02:00";1.7
"31.3101.26 03:00";-0.6
"31.3101.26 04:00";-0.8
"31.3101.26 05:00";-0.9
"31.3101.26 06:00";-0.8
"31.3101.26 07:00";-0.5
"31.3101.26 08:00";-0.5
"31.3101.26 09:00";0.1
"31.3101.26 10:00";0.6
"31.3101.26 11:00";1.2
"31.3101.26 12:00";2.6
"31.3101.26 13:00";3.3
"31.3101.26 14:00";3.9
"31.3101.26 15:00";3.6
"31.3101.26 16:00";3.7
"31.3101.26 17:00";3.5
"31.3101.26 18:00";2.3
"31.3101.26 19:00";2.3
"31.3101.26 20:00";1.9
"31.3101.26 21:00";1.9
"31.3101.26 22:00";1.7
"31.3101.26 23:00";1.6
"01.0102.26 00:00";1.6
"01.0102.26 01:00";1.4
"01.0102.26 02:00";1.3
"01.0102.26 03:00";0.9
"01.0102.26 04:00";0.8
"01.0102.26 05:00";0.7
"01.0102.26 06:00";0.8
"01.0102.26 07:00";0.8
"01.0102.26 08:00";0.8
"01.0102.26 09:00";0.9
"01.0102.26 10:00";1.5
"01.0102.26 11:00";2.1
"01.0102.26 12:00";2.9
"01.0102.26 13:00";3.9
"01.0102.26 14:00";4.6
"01.0102.26 15:00";5.0
"01.0102.26 16:00";5.7
"01.0102.26 17:00";5.2
"01.0102.26 18:00";4.3
"01.0102.26 19:00";1.0
"01.0102.26 20:00";0.8
"01.0102.26 21:00";0.6
"01.0102.26 22:00";-0.5
"01.0102.26 23:00";-0.6
"02.0202.26 00:00";-0.6
"02.0202.26 01:00";-0.5
"02.0202.26 02:00";-0.4
"02.0202.26 03:00";-0.4
"02.0202.26 04:00";0.1
"02.0202.26 05:00";0.1
"02.0202.26 06:00";0.1
"02.0202.26 07:00";0.1
"02.0202.26 08:00";0.1
"02.0202.26 09:00";0.3
"02.0202.26 10:00";0.6
"02.0202.26 11:00";1.4
"02.0202.26 12:00";2.3
"02.0202.26 13:00";4.1
"02.0202.26 14:00";5.2
"02.0202.26 15:00";5.8
"02.0202.26 16:00";6.6
"02.0202.26 17:00";6.2
"02.0202.26 18:00";5.1
"02.0202.26 19:00";4.0
"02.0202.26 20:00";3.6
"02.0202.26 21:00";3.3
"02.0202.26 22:00";3.4
"02.0202.26 23:00";3.3
"03.0302.26 00:00";3.1
"03.0302.26 01:00";2.4
"03.0302.26 02:00";2.2
"03.0302.26 03:00";2.0
"03.0302.26 04:00";1.8
"03.0302.26 05:00";1.5
"03.0302.26 06:00";1.4
"03.0302.26 07:00";1.7
"03.0302.26 08:00";1.5
"03.0302.26 09:00";1.8
"03.0302.26 10:00";1.5
"03.0302.26 11:00";2.1
"03.0302.26 12:00";2.9
"03.0302.26 13:00";6.8
"03.0302.26 14:00";7.5
"03.0302.26 15:00";7.8
"03.0302.26 16:00";6.4
"03.0302.26 17:00";6.1
"03.0302.26 18:00";5.3
"03.0302.26 19:00";5.4
"03.0302.26 20:00";4.7
"03.0302.26 21:00";4.1
"03.0302.26 22:00";2.0
"03.0302.26 23:00";1.7
"04.0402.26 00:00";1.4
"04.0402.26 01:00";-1.0
"04.0402.26 02:00";-1.2
"04.0402.26 03:00";-1.3
"04.0402.26 04:00";-2.0
"04.0402.26 05:00";-2.1
"04.0402.26 06:00";-2.2
"04.0402.26 07:00";-1.4
"04.0402.26 08:00";-1.7
"04.0402.26 09:00";-1.5
"04.0402.26 10:00";0.1
"04.0402.26 11:00";0.9
"04.0402.26 12:00";1.9
"04.0402.26 13:00";2.9
"04.0402.26 14:00";3.5
"04.0402.26 15:00";3.9
"04.0402.26 16:00";3.6
"04.0402.26 17:00";3.2
"04.0402.26 18:00";2.8
"04.0402.26 19:00";2.4
"04.0402.26 20:00";0.9
"04.0402.26 21:00";0.7
"04.0402.26 22:00";0.4
"04.0402.26 23:00";-0.5
"05.0502.26 00:00";-0.5
"05.0502.26 01:00";-0.6
"05.0502.26 02:00";-0.5
"05.0502.26 03:00";-0.6
"05.0502.26 04:00";-0.6
"05.0502.26 05:00";0.1
"05.0502.26 06:00";0.0
"05.0502.26 07:00";0.0
"05.0502.26 08:00";0.2
"05.0502.26 09:00";0.3
"05.0502.26 10:00";0.9
"05.0502.26 11:00";1.9
"05.0502.26 12:00";1.4
"05.0502.26 13:00";2.7
"05.0502.26 14:00";3.9
"05.0502.26 15:00";4.7
"05.0502.26 16:00";5.1
"05.0502.26 17:00";4.9
"05.0502.26 18:00";3.0
"05.0502.26 19:00";2.6
"05.0502.26 20:00";2.2
"05.0502.26 21:00";-0.1
"05.0502.26 22:00";0.0
"05.0502.26 23:00";0.2
"06.0602.26 00:00";0.3
"06.0602.26 01:00";0.3
"06.0602.26 02:00";0.4
"06.0602.26 03:00";0.5
"06.0602.26 04:00";0.4
"06.0602.26 05:00";0.6
"06.0602.26 06:00";0.7
"06.0602.26 07:00";2.7
"06.0602.26 08:00";2.9
"06.0602.26 09:00";3.2
"06.0602.26 10:00";4.1
"06.0602.26 11:00";4.4
"06.0602.26 12:00";4.6
"06.0602.26 13:00";5.1
"06.0602.26 14:00";7.5
"06.0602.26 15:00";7.8
"06.0602.26 16:00";7.5
"06.0602.26 17:00";8.1
"06.0602.26 18:00";7.6
"06.0602.26 19:00";6.9
"06.0602.26 20:00";7.3
"06.0602.26 21:00";7.0
"06.0602.26 22:00";6.8
"06.0602.26 23:00";7.1
"07.0702.26 00:00";6.8
"07.0702.26 01:00";6.5
"07.0702.26 02:00";6.2
"07.0702.26 03:00";6.0
"07.0702.26 04:00";5.8
"07.0702.26 05:00";5.4
"07.0702.26 06:00";5.1
"07.0702.26 07:00";4.7
"07.0702.26 08:00";4.9
"07.0702.26 09:00";4.9
"07.0702.26 10:00";5.2
"07.0702.26 11:00";7.7
"07.0702.26 12:00";8.5
"07.0702.26 13:00";9.2
"07.0702.26 14:00";9.7
"07.0702.26 15:00";10.1
"07.0702.26 16:00";9.8
"07.0702.26 17:00";9.0
"07.0702.26 18:00";7.9
"07.0702.26 19:00";6.8
"07.0702.26 20:00";4.5
"07.0702.26 21:00";4.0
"07.0702.26 22:00";3.5
"07.0702.26 23:00";1.8
"08.0802.26 00:00";1.7
"08.0802.26 01:00";1.5
"08.0802.26 02:00";1.3
"08.0802.26 03:00";0.1
"08.0802.26 04:00";0.1
"08.0802.26 05:00";0.2
"08.0802.26 06:00";-0.4
"08.0802.26 07:00";-0.2
"08.0802.26 08:00";-0.1
"08.0802.26 09:00";-0.2
"08.0802.26 10:00";1.0
"08.0802.26 11:00";1.9
"08.0802.26 12:00";3.0
"08.0802.26 13:00";4.0
"08.0802.26 14:00";4.9
"08.0802.26 15:00";4.9
"08.0802.26 16:00";5.1
"08.0802.26 17:00";4.9
"08.0802.26 18:00";4.9
"08.0802.26 19:00";4.3
"08.0802.26 20:00";3.8
"08.0802.26 21:00";3.6
"08.0802.26 22:00";3.4
"08.0802.26 23:00";3.2
"09.0902.26 00:00";3.4
"09.0902.26 01:00";3.3
"09.0902.26 02:00";3.1
"09.0902.26 03:00";2.8
"09.0902.26 04:00";2.6
"09.0902.26 05:00";2.5
"09.0902.26 06:00";2.6
"09.0902.26 07:00";2.4
"09.0902.26 08:00";2.3
"09.0902.26 09:00";3.0
"09.0902.26 10:00";3.2
"09.0902.26 11:00";3.8
"09.0902.26 12:00";4.6
"09.0902.26 13:00";5.2
"09.0902.26 14:00";5.7
"09.0902.26 15:00";5.6
"09.0902.26 16:00";5.8
"09.0902.26 17:00";5.6
"09.0902.26 18:00";4.3
"09.0902.26 19:00";3.6
"09.0902.26 20:00";3.0
"09.0902.26 21:00";0.6
"09.0902.26 22:00";0.6
"09.0902.26 23:00";0.7
"10.1002.26 00:00";-0.4
"10.1002.26 01:00";-0.4
"10.1002.26 02:00";-0.5
"10.1002.26 03:00";-1.2
"10.1002.26 04:00";-1.2
"10.1002.26 05:00";-1.1
"10.1002.26 06:00";-0.9
"10.1002.26 07:00";-0.4
"10.1002.26 08:00";-0.1
"10.1002.26 09:00";0.6
"10.1002.26 10:00";1.5
"10.1002.26 11:00";2.4
"10.1002.26 12:00";3.5
"10.1002.26 13:00";4.5
"10.1002.26 14:00";5.3
"10.1002.26 15:00";6.5
"10.1002.26 16:00";6.7
"10.1002.26 17:00";6.6
"10.1002.26 18:00";5.6
"10.1002.26 19:00";5.1
"10.1002.26 20:00";4.7
"10.1002.26 21:00";4.4
"10.1002.26 22:00";4.5
"10.1002.26 23:00";4.7
"11.1102.26 00:00";4.2
"11.1102.26 01:00";4.6
"11.1102.26 02:00";4.8
"11.1102.26 03:00";5.3
"11.1102.26 04:00";5.6
"11.1102.26 05:00";5.7
"11.1102.26 06:00";7.5
"11.1102.26 07:00";7.5
"11.1102.26 08:00";7.5
"11.1102.26 09:00";8.0
"11.1102.26 10:00";8.1
"11.1102.26 11:00";8.3
"11.1102.26 12:00";9.3
"11.1102.26 13:00";9.5
"11.1102.26 14:00";9.7
"11.1102.26 15:00";9.1
"11.1102.26 16:00";9.2
"11.1102.26 17:00";9.3
"11.1102.26 18:00";8.4
"11.1102.26 19:00";8.2
"11.1102.26 20:00";7.8
"11.1102.26 21:00";7.7
"11.1102.26 22:00";7.2
"11.1102.26 23:00";6.9
"12.1202.26 00:00";5.5
"12.1202.26 01:00";5.4
"12.1202.26 02:00";5.2
"12.1202.26 03:00";5.4
"12.1202.26 04:00";5.2
"12.1202.26 05:00";5.1
"12.1202.26 06:00";5.3
"12.1202.26 07:00";5.4
"12.1202.26 08:00";5.3
"12.1202.26 09:00";7.4
"12.1202.26 10:00";7.1
"12.1202.26 11:00";7.3
"12.1202.26 12:00";7.2
"12.1202.26 13:00";6.7
"12.1202.26 14:00";6.7
"12.1202.26 15:00";6.7
"12.1202.26 16:00";7.0
"12.1202.26 17:00";7.7
"12.1202.26 18:00";7.7
"12.1202.26 19:00";7.5
"12.1202.26 20:00";7.2
"12.1202.26 21:00";7.0
"12.1202.26 22:00";6.9
"12.1202.26 23:00";6.1
"13.1302.26 00:00";6.0
"13.1302.26 01:00";6.0
"13.1302.26 02:00";6.1
"13.1302.26 03:00";6.0
"13.1302.26 04:00";5.9
"13.1302.26 05:00";5.1
"13.1302.26 06:00";5.0
"13.1302.26 07:00";4.9
"13.1302.26 08:00";5.7
"13.1302.26 09:00";5.7
"13.1302.26 10:00";6.0
"13.1302.26 11:00";7.6
"13.1302.26 12:00";8.5
"13.1302.26 13:00";9.1
"13.1302.26 14:00";10.3
"13.1302.26 15:00";10.6
"13.1302.26 16:00";10.4
"13.1302.26 17:00";9.9
"13.1302.26 18:00";8.5
"13.1302.26 19:00";7.0
"13.1302.26 20:00";6.2
"13.1302.26 21:00";5.6
"13.1302.26 22:00";6.8
"13.1302.26 23:00";6.1
"14.1402.26 00:00";5.7
"14.1402.26 01:00";3.9
"14.1402.26 02:00";3.6
"14.1402.26 03:00";3.4
"14.1402.26 04:00";3.9
"14.1402.26 05:00";3.8
"14.1402.26 06:00";3.7
"14.1402.26 07:00";3.8
"14.1402.26 08:00";3.8
"14.1402.26 09:00";4.0
"14.1402.26 10:00";4.2
"14.1402.26 11:00";6.0
"14.1402.26 12:00";6.0
"14.1402.26 13:00";6.0
"14.1402.26 14:00";6.3
"14.1402.26 15:00";6.1
"14.1402.26 16:00";5.5
"14.1402.26 17:00";5.0
"14.1402.26 18:00";4.7
"14.1402.26 19:00";4.1
"14.1402.26 20:00";3.3
"14.1402.26 21:00";3.0
"14.1402.26 22:00";2.6
"14.1402.26 23:00";1.9
"15.1502.26 00:00";1.7
"15.1502.26 01:00";1.5
"15.1502.26 02:00";1.0
"15.1502.26 03:00";0.9
"15.1502.26 04:00";0.7
"15.1502.26 05:00";0.9
"15.1502.26 06:00";0.7
"15.1502.26 07:00";0.6
"15.1502.26 08:00";0.6
"15.1502.26 09:00";0.7
"15.1502.26 10:00";1.0
"15.1502.26 11:00";1.6
"15.1502.26 12:00";2.6
"15.1502.26 13:00";3.3
"15.1502.26 14:00";3.9
"15.1502.26 15:00";3.5
"15.1502.26 16:00";3.6
"15.1502.26 17:00";3.5
"15.1502.26 18:00";3.0
"15.1502.26 19:00";2.4
"15.1502.26 20:00";2.0
"15.1502.26 21:00";2.0
"15.1502.26 22:00";2.1
"15.1502.26 23:00";2.3
"16.1602.26 00:00";1.5
"16.1602.26 01:00";2.0
"16.1602.26 02:00";2.3
"16.1602.26 03:00";5.3
"16.1602.26 04:00";5.2
"16.1602.26 05:00";5.0
"16.1602.26 06:00";4.8
"16.1602.26 07:00";4.7
"16.1602.26 08:00";4.9
"16.1602.26 09:00";5.1
"16.1602.26 10:00";5.7
"16.1602.26 11:00";5.6
"16.1602.26 12:00";5.5
"16.1602.26 13:00";5.7
"16.1602.26 14:00";6.0
"16.1602.26 15:00";6.1
"16.1602.26 16:00";6.8
"16.1602.26 17:00";6.5
"16.1602.26 18:00";5.8
"16.1602.26 19:00";4.0
"16.1602.26 20:00";3.8
"16.1602.26 21:00";3.7
"16.1602.26 22:00";3.7
"16.1602.26 23:00";3.6
"17.1702.26 00:00";3.5
"17.1702.26 01:00";2.9
"17.1702.26 02:00";2.8
"17.1702.26 03:00";2.8
"17.1702.26 04:00";3.0
"17.1702.26 05:00";3.0
"17.1702.26 06:00";2.9
"17.1702.26 07:00";1.5
"17.1702.26 08:00";1.6
"17.1702.26 09:00";1.9
"17.1702.26 10:00";1.7
"17.1702.26 11:00";2.0
"17.1702.26 12:00";2.6
"17.1702.26 13:00";5.0
"17.1702.26 14:00";5.6
"17.1702.26 15:00";5.8
"17.1702.26 16:00";5.6
"17.1702.26 17:00";5.4
"17.1702.26 18:00";4.9
"17.1702.26 19:00";4.2
"17.1702.26 20:00";2.7
"17.1702.26 21:00";2.6
"17.1702.26 22:00";2.3
"17.1702.26 23:00";0.4
"18.1802.26 00:00";0.3
"18.1802.26 01:00";0.1
"18.1802.26 02:00";-0.1
"18.1802.26 03:00";-0.2
"18.1802.26 04:00";0.8
"18.1802.26 05:00";0.6
"18.1802.26 06:00";0.6
"18.1802.26 07:00";-2.2
"18.1802.26 08:00";-2.0
"18.1802.26 09:00";-1.4
"18.1802.26 10:00";0.1
"18.1802.26 11:00";0.9
"18.1802.26 12:00";1.7
"18.1802.26 13:00";0.7
"18.1802.26 14:00";1.0
"18.1802.26 15:00";1.3
"18.1802.26 16:00";1.8
"18.1802.26 17:00";2.0
"18.1802.26 18:00";2.2
"18.1802.26 19:00";0.5
"18.1802.26 20:00";0.5
"18.1802.26 21:00";0.7
"18.1802.26 22:00";1.4
"18.1802.26 23:00";1.5
"19.1902.26 00:00";1.7
"19.1902.26 01:00";1.7
"19.1902.26 02:00";1.4
"19.1902.26 03:00";1.5
"19.1902.26 04:00";1.5
"19.1902.26 05:00";1.6
"19.1902.26 06:00";1.7
"19.1902.26 07:00";1.3
"19.1902.26 08:00";1.5
"19.1902.26 09:00";1.9
"19.1902.26 10:00";2.5
